vers_nr,T_K,mdot_kg_h,z,PE_eff,Pe,lambda_ratio_meas,lambda_ratio_calc,fehl
IK09/11,318,484.2,0.53,9.63,947,98.4,97.5,-0.9
IK09/12,317,384.3,0.54,9.42,753,79.9,78.3,-2.1
IK09/13,317,297.4,0.56,9.19,582,63.3,61.4,-3.1
IK09/14,317,222.9,0.57,9.01,436,48.4,46.9,-3.2
IK09/15,317,145.4,0.59,8.72,285,32.7,31.8,-2.6
IK09/16,317,91.2,0.60,8.53,179,21.0,21.2,1.2
IK09/21,604,81.1,0.74,6.95,102,14.6,14.6,0.1
IK09/22,604,157.9,0.65,7.83,198,25.3,24.2,-4.2
IK09/23,603,220.4,0.62,8.22,276,33.6,32.0,-4.9
IK09/24,603,290.0,0.60,8.51,364,42.7,40.6,-4.9
IK09/25,603,388.7,0.58,8.89,488,54.9,52.9,-3.6
IK09/26,604,482.8,0.56,9.17,605,66.0,64.5,-2.2
IK09/31,797,78.4,0.89,5.77,85,14.7,14.1,-4.3
IK09/32,797,147.7,0.74,6.91,160,23.1,21.5,-7.1
IK09/33,797,223.3,0.65,7.82,241,30.8,29.6,-4.2
IK09/34,780,280.9,0.62,8.22,304,36.9,35.7,-3.2
IK09/35,796,397.0,0.59,8.69,429,49.4,48.1,-2.5
IK09/36,796,509.9,0.58,8.81,551,62.6,60.2,-3.8
IK09/41,894,75.3,0.90,5.65,77,13.6,13.9,2.2
IK09/42,895,155.0,0.72,7.10,158,22.3,22.0,-1.3
IK09/43,896,232.2,0.65,7.93,237,29.9,29.8,-0.4
IK09/44,896,289.9,0.67,7.66,296,38.6,35.6,-7.9
IK09/45,896,385.2,0.61,8.33,393,47.1,45.2,-4.2
IK09/46,896,484.8,0.58,8.82,494,56.1,55.2,-1.6
GK05/11,329,334.9,0.60,8.28,563,68.0,70.8,4.1
GK05/12,328,246.3,0.63,7.90,415,52.5,54.6,4.0
GK05/13,328,193.6,0.64,7.74,326,42.1,44.8,6.3
GK05/14,329,334.0,0.58,8.60,562,65.3,70.7,8.2
GK05/15,329,210.5,0.63,7.83,354,45.3,47.9,5.8
GK05/16,329,281.5,0.60,8.33,474,56.9,61.0,7.3
GK05/17,328,147.4,0.67,7.41,248,33.5,36.0,7.4
GK05/18,328,103.6,0.71,6.97,175,25.1,27.5,10.0
GK05/19,327,72.0,0.77,6.42,122,19.0,21.4,12.7
GK05/20,328,48.4,0.86,5.75,82,14.2,16.6,16.9
GK05/21,329,311.2,0.58,8.60,524,60.9,66.5,9.2
GK05/22,329,255.4,0.60,8.27,430,52.0,56.2,8.2
GK05/23,328,212.2,0.62,8.00,358,44.8,48.3,7.9
GK05/24,328,211.1,0.61,8.19,356,43.5,48.1,10.6
GK05/25,328,210.8,0.61,7.94,355,44.7,48.0,7.3
GK05/26,328,211.2,0.62,8.02,356,44.3,48.1,8.4
GK05/27,322,136.6,0.68,7.28,234,32.1,34.4,7.1
GK05/28,328,73.1,0.80,6.17,123,20.0,21.5,7.8
CK10/11,342,447.9,0.58,8.49,926,109.0,109.7,0.7
CK10/12,342,448.1,0.58,8.40,927,110.3,109.8,-0.4
CK10/13,342,329.0,0.61,8.05,680,84.5,84.3,-0.2
CK10/14,342,235.4,0.63,7.76,488,62.9,64.1,1.9
CK10/15,342,140.3,0.68,7.16,290,40.5,42.7,5.4
CK10/21,340,460.5,0.35,8.84,956,108.1,112.8,4.4
CK10/22,339,99.2,0.45,6.94,207,29.7,33.4,12.2
CK10/23,339,168.9,0.40,7.83,352,44.9,49.4,10.1
