prefix,block_lo,block_hi,psi,D_mm,L_mm,psi_assumed
IK09,10,40,0.4,252,348,True
GK05,10,20,0.4,201.5,292,True
GK05,30,30,0.4,201.5,207,True
CK10,10,10,0.4,252,297,True
CK10,20,20,0.4,252,190,True
CK10,30,70,0.418,252,227,False
TK03,10,50,0.369,120,176,False
TK06,10,50,0.379,201.5,272,False
TK06,60,100,0.389,201.5,180,False
TK06,110,150,0.419,252,280,False
TK10,10,40,0.403,252,290,False
TK10,50,90,0.421,252,204,False
SK02,10,10,0.4,120,304,True
SK02,20,20,0.391,120,254,False
SK05,10,10,0.4,201.5,317,True
SK05,20,70,0.391,201.5,216,False
SK05,80,120,0.429,201.5,305,False
SK10,10,10,0.4,252,291,True
SK10,20,60,0.412,252,218,False
SK10,70,90,0.402,252,237,False
SK10,100,100,0.4,252,242,True
SK10,110,150,0.408,252,207,False
SK10,160,160,0.4,201.5,172,True
KK02,10,10,0.4,120,318,True
KK02,20,20,0.398,120,220,False
KK10,10,10,0.4,252,198,True
KK10,20,20,0.403,252,132,False
KK10,30,30,0.423,252,207,False
KK10,40,40,0.415,252,204,False
