Complexity,Loss,Equation
1,43.188248,"9.964306"
2,26.593277,"square(log_kappa)"
3,2.2733436,"log_kappa / 0.19464913"
4,1.3342644,"square(log_kappa + 0.9261789)"
5,0.78333193,"square(log_kappa - log(psi))"
6,0.6609633,"square(square(log(psi)) + log_kappa)"
7,0.2517302,"square(log(psi) * (-1.2154249 - log_kappa))"
8,0.1462092,"square(((-0.3802167 / psi) * log_kappa) + -1.0376699)"
9,0.095444515,"square((log_kappa * log(psi)) + -1.2585899) + -0.86203706"
10,0.09369856,"square(((log_kappa * -0.3393963) / psi) + -1.647698) + -2.349347"
11,0.07501808,"square((log(psi) * (log_kappa * 0.9251312)) + -1.6529505) + -2.3630855"
12,0.0725442,"square(((-0.33844942 * (log_kappa + 0.46026698)) / psi) - 1.2594863) + -2.346908"
13,0.06767698,"square((log(psi) * ((log_kappa * 0.9242423) - -0.23459141)) + -1.4359776) + -2.353084"
15,0.0674439,"psi + (square((((log_kappa * 0.9087804) - -0.2855187) * log(psi)) + -1.4755244) + -3.1091855)"
16,0.06586749,"(-1.4329803 + log(psi)) + square((((log_kappa * 0.9231988) - -0.37251082) * log(psi)) + -1.3132378)"
17,0.061326083,"(((log_kappa / psi) * 1.131412) + square((log_kappa * -0.47019777) / (psi + square(psi)))) - -0.35432303"
18,0.050650906,"((log(square((4.682638 / psi) + ((square(log_kappa) * -0.07617311) + -8.270999))) + log_kappa) * log_kappa) + psi"
20,0.05022864,"((log_kappa + -0.060642976) * (log_kappa + log(square((square(log_kappa) * -0.07943446) + ((4.796169 / psi) + -8.450778))))) + 0.56143945"
22,0.049529057,"(((log(square((4.682638 / psi) + ((square(log_kappa) * -0.07617311) + -8.270999))) + log_kappa) * log_kappa) + (psi / 0.45958298)) - 0.45542905"
